phenotype_name	source_concept_id	standard_concept_id	source_name	source_vocabulary	source_domain	standard_name	standard_vocabulary	standard_domain
Alcohol Abuse	44819535	378726	Alcohol-induced persisting dementia	ICD9CM	Condition	Dementia associated with alcoholism	SNOMED	Condition
Alcohol Abuse	44819550	435243	Other and unspecified alcohol dependence	ICD9CM	Condition	Alcohol dependence	SNOMED	Condition
Alcohol Abuse	44819551	435532	Other and unspecified alcohol dependence, episodic	ICD9CM	Condition	Episodic chronic alcoholism	SNOMED	Condition
Alcohol Abuse	44819554	4279309	Nondependent abuse of drugs	ICD9CM	Condition	Substance abuse	SNOMED	Condition
Alcohol Abuse	44821955	318773	Alcoholic cardiomyopathy	ICD9CM	Condition	Dilated cardiomyopathy secondary to alcohol	SNOMED	Condition
Alcohol Abuse	44822967	376383	Other specified alcohol-induced mental disorders	ICD9CM	Condition	Alcohol-induced organic mental disorder	SNOMED	Condition
Alcohol Abuse	44824107	374623	Alcohol-induced persisting amnestic disorder	ICD9CM	Condition	Alcohol amnestic disorder	SNOMED	Condition
Alcohol Abuse	44824108	442582	Alcohol-induced psychotic disorder with delusions	ICD9CM	Condition	Alcohol-induced psychotic disorder with delusions	SNOMED	Condition
Alcohol Abuse	44824125	437257	Acute alcoholic intoxication in alcoholism, continuous	ICD9CM	Condition	Continuous acute alcoholic intoxication in alcoholism	SNOMED	Condition
Alcohol Abuse	44825305	436953	Other and unspecified alcohol dependence, continuous	ICD9CM	Condition	Continuous chronic alcoholism	SNOMED	Condition
Alcohol Abuse	44826487	377830	Alcohol withdrawal delirium	ICD9CM	Condition	Alcohol withdrawal delirium	SNOMED	Condition
Alcohol Abuse	44826511	441261	Acute alcoholic intoxication in alcoholism, episodic	ICD9CM	Condition	Episodic acute alcoholic intoxication in alcoholism	SNOMED	Condition
Alcohol Abuse	44826518	433753	Alcohol abuse, continuous	ICD9CM	Condition	Alcohol abuse	SNOMED	Condition
Alcohol Abuse	44826518	4145220	Alcohol abuse, continuous	ICD9CM	Condition	Drug abuse, continuous	SNOMED	Condition
Alcohol Abuse	44826726	4059284	Chronic liver disease and cirrhosis	ICD9CM	Condition	Cirrhosis and chronic liver disease	SNOMED	Condition
Alcohol Abuse	44828837	433735	Acute alcoholic intoxication	ICD9CM	Condition	Acute alcoholic intoxication in alcoholism	SNOMED	Condition
Alcohol Abuse	44828838	439005	Other and unspecified alcohol dependence, in remission	ICD9CM	Condition	Chronic alcoholism in remission	SNOMED	Condition
Alcohol Abuse	44829916	375519	Alcohol withdrawal	ICD9CM	Condition	Alcohol withdrawal syndrome	SNOMED	Condition
Alcohol Abuse	44831080	376383	Unspecified alcohol-induced mental disorders	ICD9CM	Condition	Alcohol-induced organic mental disorder	SNOMED	Condition
Alcohol Abuse	44831100	435243	Other and unspecified alcohol dependence, unspecified	ICD9CM	Condition	Alcohol dependence	SNOMED	Condition
Alcohol Abuse	44832220	372607	Alcohol-induced psychotic disorder with hallucinations	ICD9CM	Condition	Alcohol hallucinosis	SNOMED	Condition
Alcohol Abuse	44832244	435243	Alcohol dependence syndrome	ICD9CM	Condition	Alcohol dependence	SNOMED	Condition
Alcohol Abuse	44832476	201343	Acute alcoholic hepatitis	ICD9CM	Condition	Acute alcoholic liver disease	SNOMED	Condition
Alcohol Abuse	44835774	376383	Alcohol-induced mental disorders	ICD9CM	Condition	Alcohol-induced organic mental disorder	SNOMED	Condition
Alcohol Abuse	44835775	375794	Alcohol induced sleep disorders	ICD9CM	Condition	Alcohol-induced sleep disorder	SNOMED	Condition
Alcohol Abuse	44835799	433735	Acute alcoholic intoxication in alcoholism, unspecified	ICD9CM	Condition	Acute alcoholic intoxication in alcoholism	SNOMED	Condition
Alcohol Abuse	44836955	378121	Idiosyncratic alcohol intoxication	ICD9CM	Condition	Idiosyncratic intoxication	SNOMED	Condition
Alcohol Abuse	44836956	376383	Other alcohol-induced mental disorders	ICD9CM	Condition	Alcohol-induced organic mental disorder	SNOMED	Condition
Alcohol Abuse	44836977	432609	Acute alcoholic intoxication in alcoholism, in remission	ICD9CM	Condition	Acute alcoholic intoxication in remission, in alcoholism	SNOMED	Condition
Atrial Fibrillation	44820868	314665	Atrial flutter	ICD9CM	Condition	Atrial flutter	SNOMED	Condition
Atrial Fibrillation	44821957	313217	Atrial fibrillation	ICD9CM	Condition	Atrial fibrillation	SNOMED	Condition
Atrial Fibrillation	44824248	4108832	Atrial fibrillation and flutter	ICD9CM	Condition	Atrial fibrillation and flutter	SNOMED	Condition
cardiac surgery	2100979	2100979	Placement of visceral extension prosthesis for endovascular repair of abdominal aortic aneurysm involving visceral vessels, each visceral branch, radiological supervision and interpretation (List separately in addition to code for primary procedure)	CPT4	Procedure	Placement of visceral extension prosthesis for endovascular repair of abdominal aortic aneurysm involving visceral vessels, each visceral branch, radiological supervision and interpretation (List separately in addition to code for primary procedure)	CPT4	Procedure
cardiac surgery	2106709	2106709	Thoracotomy; with cardiac massage	CPT4	Procedure	Thoracotomy; with cardiac massage	CPT4	Procedure
cardiac surgery	2106950	2106950	Excision of intracardiac tumor, resection with cardiopulmonary bypass	CPT4	Procedure	Excision of intracardiac tumor, resection with cardiopulmonary bypass	CPT4	Procedure
cardiac surgery	2106962	2106962	Resection of external cardiac tumor	CPT4	Procedure	Resection of external cardiac tumor	CPT4	Procedure
